model,CV_R2_mean,CV_R2_std,CV_RMSE_mean,CV_MAE_mean
Linear Regression,0.9989912723428749,3.521186391587299e-05,2.952067679917455,2.3668580615398582
Ridge Regression,0.9989910355643664,3.5538785178320356e-05,2.952413095534631,2.3672461959285327
Gradient Boosting,0.9989603348853695,3.7007407366398026e-05,2.9969718333816857,2.3971402636256274
Random Forest,0.9987089459432301,4.6381066060825344e-05,3.339624723647019,2.669462522150769
MLP Regressor,0.9982113375927838,0.00021772168963319838,3.927737604033852,2.9534179757855776
Dummy Regressor,-0.0009127914489195366,0.0006035113232527921,93.01347714130637,80.59045463652762
